Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
38:43:7D:36:37:87,52/70,-57.3333,"UPC9483015",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.8354,16.601
34:2C:C4:73:F5:52,48/70,-63.3333,"UPC0619940",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
36:2C:94:73:F5:52,48/70,-63.6667,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
38:A6:59:D4:68:44,47/70,-60.6667,"T-Mobile_Swiatlowod_2.4GHz_6840",2.417,2,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.8354,16.601
38:43:7D:36:37:20,50/70,-59.6667,"UPC9483015",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
FC:73:FB:C5:E8:B8,20/70,-90,"NETIASPOT-T97t",2.442,7,[ 1 2 5.5 6 9 24 36 48 54 ],802.11i,WPA2,51.8354,16.601
98:42:65:E0:59:04,48/70,-64.6667,"Orange_Swiatlowod_5900",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.8354,16.601
38:43:7D:BA:67:AD,42/70,-68,"UPC3314383",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
3A:43:1D:BA:67:AD,43/70,-67,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
98:42:65:E0:59:00,37/70,-70.3333,"Orange_Swiatlowod_5900",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.8354,16.601
38:A6:59:D4:68:45,48/70,-65.6667,"T-Mobile_Swiatlowod_5GHz_6840",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.8354,16.601
34:2C:C4:73:F5:36,48/70,-65,"UPC0619940",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.8354,16.601
38:43:7D:BA:67:9B,36/70,-75.3333,"UPC3314383",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.8354,16.601
44:13:D0:BB:16:8D,25/70,-85,"ZTE_2.4G_EmekTk",2.422,3,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.8354,16.601
3A:43:1D:36:37:20,49/70,-60,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
AC:22:05:A9:00:24,21/70,-89,"UPC5383131",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
AE:22:15:A9:00:24,20/70,-90,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
E8:CC:18:60:61:EF,23/70,-87,"DWR-116_6061EE",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.8354,16.601
