Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,58/70,-49.3333,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
24:A4:3C:FE:13:88,29/70,-81,"slon-AER tel 888084818",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
C0:3C:04:3B:A7:B0,20/70,-90,"Orange_Swiatlowod_A7B0",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
60:32:B1:16:73:1A,23/70,-87,"TP-Link_731B_5G",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
10:27:F5:61:7F:74,32/70,-78,"SkyNet!",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0437
08:26:97:CD:44:DF,27/70,-83,"ZyXELCD44DE",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
00:9A:CD:6B:F1:6E,24/70,-86,"HUAWEI-B315-F16E",2.422,3,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
F4:28:53:7D:D7:04,30/70,-80,"Korbank-DD704",2.452,9,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
10:27:F5:61:7F:73,25/70,-86,"SkyNet!",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
14:4D:67:0A:FF:4C,36/70,-74,"Korbank-2.4G-144D670AFF48",2.412,1,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:E8:A4:E3,38/70,-72,"UPC5615390",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
74:AC:B9:C2:A7:D8,24/70,-86.6667,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
68:02:B8:09:0E:DD,25/70,-85,"UPC4850464",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
98:42:65:D0:C7:D5,25/70,-85,"T-Mobile_Swiatlowod_5GHz_C7D0",5.3,60,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
AC:22:05:51:8A:47,24/70,-86,"UPC582CC89",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
34:2C:C4:D8:55:78,26/70,-84,"UPC8618176",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
84:A1:D1:C6:ED:A0,32/70,-78,"Orange_Swiatlowod_EDA0",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
68:02:B8:09:0E:E4,31/70,-79,"UPC4850464",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
36:2C:94:E8:73:37,31/70,-79,"Wi-Free #InternetUPCNajszybszy",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:E8:73:37,24/70,-86,"UPC9203683",2.412,1,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
6C:BA:B8:48:B9:65,22/70,-88,"Orange_Swiatlowod_B960",5.28,56,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
AE:22:15:51:8A:57,33/70,-77,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
AC:22:05:51:8A:57,32/70,-80.6667,"UPC582CC89",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:38:C2:B5,31/70,-79,"Fryty:)",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:E8:A4:DB,30/70,-80,"UPC5615390",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
30:93:BC:94:A5:05,25/70,-85,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
6C:BA:B8:32:57:A5,25/70,-85,"Orange_Swiatlowod_57A0",5.26,52,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
AC:F8:CC:03:20:EB,20/70,-90,"UPC9851863",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
20:83:F8:4A:2C:4C,24/70,-86,"NETIASPOT-5GHz-4A2C44",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
08:36:C9:90:DA:E3,33/70,-77,"Fasolkowo",2.442,7,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
3C:84:6A:1B:01:42,30/70,-80,"Midki",2.432,5,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1306,17.0437
6A:02:98:09:0E:E4,30/70,-80,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:D8:55:88,26/70,-84,"UPC8618176",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
80:2A:A8:7E:A6:B4,21/70,-89,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
04:D9:F5:A5:B8:A8,24/70,-86,"ASUS",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
34:0A:33:B0:FF:BF,31/70,-81.3333,"dlink-FFBD",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
34:2C:C4:4D:18:05,27/70,-83,"UPC9035000",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
34:2C:C4:6B:7F:4A,26/70,-84,"UPC8900844 5ghz",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1306,17.0437
6C:BA:B8:48:B9:60,34/70,-76,"Orange_Swiatlowod_B960",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1306,17.0437
34:2C:C4:35:B2:54,36/70,-74,"UPC7582043",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1306,17.0437
