Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,66/70,-39,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
38:43:7D:49:36:C9,22/70,-88,"UPC0536861",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.13,17.0453
24:4B:FE:08:03:E0,29/70,-79.6667,"Sith Empire",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.13,17.0453
24:4B:FE:08:03:E4,23/70,-87,"Sith Empire",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.13,17.0453
20:83:F8:14:A2:38,24/70,-86,"NETIASPOT-5GHz-14A230",5.56,112,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.13,17.0453
84:D8:1B:35:D7:CB,23/70,-87,"okrutne_kobiety",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
34:7A:60:D9:5F:A6,23/70,-87,"UPC501157526",5.24,48,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.13,17.0453
3A:43:1D:49:36:C9,21/70,-89,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.13,17.0453
20:83:F8:14:3D:1C,33/70,-77,"NETIASPOT-2.4GHz-143D18",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
5C:F9:6A:DC:BC:C8,21/70,-89,"B593-8659",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
44:D4:53:5B:33:E4,24/70,-86,"T-Mobile_Swiatlowod_2.4GHz_33E0",2.457,10,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
20:83:F8:27:4F:D0,25/70,-85,"NETIASPOT-2.4GHz-274FCC",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.13,17.0453
00:12:2A:AF:82:F8,32/70,-78,"NETIASPOT-AF82F0",2.467,12,[ 1 2 5.5 11 11 ],Mb,s;,51.13,17.0453
