SSID,BSSID,LEVEL
UPC9995925,34:2c:c4:33:1b:8c,-71
freak,68:ff:7b:25:f9:1a,-72
NETIASPOT-5GHz-AF9141,10:5a:f7:af:91:48,-72
freak,68:ff:7b:25:f9:1b,-74
,6e:ff:7b:25:f9:1b,-75
Wi-Free #InternetUPCNajszybszy,36:2c:94:c4:3d:85,-77
Wi-Free #InternetUPCNajszybszy,36:2c:94:33:1b:c5,-78
UPC8021556,34:2c:c4:c4:3d:a1,-79
UPC9995925,34:2c:c4:33:1b:c5,-80
Orange_Swiatlowod_B520,98:42:65:e3:b5:20,-81
Orange_Swiatlowod_3EC0,e8:d2:ff:f0:3e:c0,-81
784476B9E2B8,78:44:76:b9:e2:b8,-81
GRINGO,50:c7:bf:2a:83:b3,-82
5G-Vectra-WiFi-B01BAA,a4:fc:77:6c:fc:e7,-82
TP-Link_731B,60:32:b1:16:73:1b,-83
slon-AER tel 888084818,24:a4:3c:fe:13:88,-83
WLAN1-5G-H81J49,5c:c3:07:29:10:32,-83
freak,68:ff:7b:26:03:db,-84
TP-Link_0DF7,68:ff:7b:98:0d:f7,-85
UPC4F98159,90:5c:44:81:58:b7,-85
TP-Link_731B_5G,60:32:b1:16:73:1a,-86
WLAN1-H81J49,5c:c3:07:29:10:30,-86
WrocZakladowa2,c0:06:c3:1a:2f:33,-86
Kitkoland,b0:bb:e5:c2:35:51,-86
linksys_s,00:22:6b:6d:78:77,-87
TP-Link_405A_5G,d8:0d:17:a4:40:59,-87
UPC1024805,34:2c:c4:e7:50:a7,-88
DIRECT-7F-HP DeskJet 3630 series,b0:5a:da:78:71:80,-88
HiSmart-01-ca2c4f959ce7,ca:2c:4f:95:9c:e7,-88
dlink-4AA6,34:0a:33:7e:4a:a8,-88
Internety Szybkie,f4:8c:eb:a7:a6:0b,-89
UPC3928702,34:2c:c4:9f:f7:38,-89
FunBox2-1E14,d8:d7:75:51:1e:15,-89
Rynsztok,6c:ba:b8:4b:c8:f5,-89
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-90
dlink-F800,34:0a:33:b0:f8:02,-90
dlink-1251,a8:63:7d:94:12:53,-90
Korbank-DD704_5G,f4:28:53:7d:d7:06,-90
bestnet3-wf-airmax.pl-717170530,80:2a:a8:7e:a6:b4,-90
korbank5g,e4:be:ed:dc:85:15,-90
dlink-053D,78:98:e8:59:05:3f,-90
UPC1051296,e4:57:40:e0:24:27,-90
UPC7579880,ac:f8:cc:86:3a:6a,-91
Orange_Swiatlowod_8700,e8:d2:ff:5d:87:00,-91
FantaNetwork 5G,ac:f8:cc:89:16:0f,-91
Orange_Swiatlowod_A7B0,c0:3c:04:3b:a7:b0,-92
FunBox3-17F0,84:a1:d1:d5:17:f5,-92
Orange_Swiatlowod_FCB0,84:a1:d1:d1:fc:b5,-92
HUAWEI-B525-5G-9C8C,b0:e5:ed:65:9c:8e,-93
T-Mobile-ZTE MF286-A8FD4E,c8:ea:f8:aa:fd:4e,-93
PROMENADY_IIVD,80:2a:a8:be:f1:e2,-93
NETIASPOT-5GHz-390538,20:83:f8:39:05:40,-93
Landernet,ac:84:c9:1e:d9:57,-94
